[일시]대신증권,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,11350,11500,11250,11400,0.0,0.00%,11560,11258,11717,11747,233177,12533715
2019/01/29,11500,11500,11300,11400,▼150,－1.30%,11560,11235,11720,11750,111092,12541362
2019/01/28,11750,11750,11450,11550,▼200,－1.70%,11540,11233,11715,11755,111554,12610877
2019/01/25,11700,11750,11550,11750,▲50,＋0.43%,11500,11225,11707,11756,124735,12613454
2019/01/24,11500,11850,11450,11700,▲300,＋2.63%,11450,11238,11693,11754,431242,12619349
2019/01/23,11250,11400,11200,11400,▲100,＋0.88%,11380,11255,11677,11753,62752,12530785
2019/01/22,11300,11400,11150,11300,▼50,－0.44%,11390,11288,11673,11756,112905,12504426
2019/01/21,11550,11600,11350,11350,▼150,－1.30%,11390,11323,11673,11757,89363,12494264
2019/01/18,11350,11500,11300,11500,▲150,＋1.32%,11330,11360,11669,11758,137670,12511322
2019/01/17,11500,11550,11300,11350,▼100,－0.87%,11250,11390,11663,11757,96885,12487991
2019/01/16,11350,11500,11350,11450,▲150,＋1.33%,11200,11433,11663,11760,152664,12493247
2019/01/15,11000,11400,11000,11300,▲250,＋2.26%,11130,11475,11657,11761,183098,12485204
2019/01/14,11050,11150,10950,11050,▼50,－0.45%,11040,11528,11653,11766,134002,12400471
2019/01/11,11150,11150,11000,11100,0.0,0.00%,11030,11580,11653,11773,88451,12375879
2019/01/10,11100,11150,11000,11100,0.0,0.00%,10970,11610,11650,11779,103918,12361928
2019/01/09,10900,11100,10900,11100,▲250,＋2.30%,10890,11648,11644,11784,120143,12369524
2019/01/08,11050,11050,10800,10850,▼150,－1.36%,10860,11695,11642,11787,113094,12298656
2019/01/07,10950,11100,10900,11000,▲200,＋1.85%,10960,11758,11642,11793,140781,12313811
2019/01/04,10650,10900,10650,10800,▲100,＋0.93%,11040,11825,11650,11798,92696,12332774
2019/01/03,10800,11050,10650,10700,▼250,－2.28%,11280,11903,11666,11804,237670,12318094
2019/01/02,11350,11350,10800,10950,▼400,－3.52%,11550,11990,11688,11810,247481,12289770
2018/12/28,11400,11500,11250,11350,▼50,－0.44%,11770,12053,11706,11813,188030,12310838
2018/12/27,11600,11700,11350,11400,▼600,－5.00%,11900,12095,11723,11813,293579,12354187
2018/12/26,12000,12050,11850,12000,▼50,－0.41%,12040,12133,11742,11813,320873,12408057
2018/12/24,12000,12100,11950,12050,0.0,0.00%,12060,12140,11750,11807,211466,12442305
2018/12/21,12000,12100,11900,12050,▲50,＋0.42%,12090,12135,11758,11804,158122,12446033
2018/12/20,12100,12200,11900,12000,▼100,－0.83%,12140,12125,11764,11801,224473,12393768
2018/12/19,12150,12250,12050,12100,0.0,0.00%,12210,12120,11768,11800,144270,12409214
2018/12/18,12150,12250,12000,12100,▼100,－0.82%,12210,12123,11768,11798,139358,12474169
2018/12/17,12250,12350,12150,12200,▼100,－0.81%,12130,12123,11768,11799,133539,12512666
2018/12/14,12350,12400,12150,12300,▼50,－0.40%,12060,12125,11770,11798,159426,12532533
2018/12/13,12100,12400,12000,12350,▲250,＋2.07%,12010,12118,11772,11795,136102,12546684
2018/12/12,11700,12100,11700,12100,▲400,＋3.42%,11960,12095,11771,11795,114452,12544310
2018/12/11,11950,11950,11650,11700,▼150,－1.27%,12010,12073,11771,11795,157006,12490854
2018/12/10,11900,12000,11850,11850,▼200,－1.66%,12140,12070,11780,11800,82061,12526321
2018/12/07,12100,12300,11950,12050,▼50,－0.41%,12260,12063,11787,11806,159075,12540728
2018/12/06,12300,12400,12050,12100,▼250,－2.02%,12290,12045,11789,11813,241904,12536792
2018/12/05,12150,12400,12100,12350,0.0,0.00%,12310,12028,11788,11825,142223,12536980
2018/12/04,12450,12500,12300,12350,▼100,－0.80%,12270,11985,11785,11834,166742,12527616
2018/12/03,12300,12450,12250,12450,▲250,＋2.05%,12230,11950,11787,11842,129711,12559251
2018/11/30,12200,12300,12100,12200,0.0,0.00%,12130,11903,11783,11849,89046,12556780
2018/11/29,12300,12350,12150,12200,▲50,＋0.41%,12060,11873,11783,11857,167862,12535997
2018/11/28,12200,12250,12050,12150,0.0,0.00%,12000,11818,11783,11866,66269,12543166
2018/11/27,12050,12150,12000,12150,▲200,＋1.67%,12000,11763,11784,11874,141586,12538568
2018/11/26,11850,12050,11800,11950,▲100,＋0.84%,11990,11700,11786,11886,117706,12513548
2018/11/23,11850,12050,11800,11850,▼50,－0.42%,12050,11640,11792,11899,136055,12486564
2018/11/22,12100,12200,11800,11900,▼250,－2.06%,12110,11608,11798,11915,187152,12432126
2018/11/21,11800,12150,11800,12150,▲50,＋0.41%,12110,11575,11802,11932,100838,12461519
2018/11/20,12000,12150,11950,12100,▼150,－1.22%,12010,11525,11803,11946,139534,12427887
2018/11/19,12150,12350,12100,12250,▲100,＋0.82%,11920,11475,11807,11961,97423,12398336
2018/11/16,11900,12250,11850,12150,▲250,＋2.10%,11810,11430,11798,11974,331695,12399977
2018/11/15,11500,11900,11500,11900,▲250,＋2.15%,11720,11378,11789,11988,91771,12339690
2018/11/14,11650,11750,11550,11650,0.0,0.00%,11690,11335,11781,12004,92406,12307908
2018/11/13,11550,11650,11350,11650,▼50,－0.43%,11660,11308,11775,12022,121479,12283800
2018/11/12,11600,11750,11550,11700,0.0,0.00%,11660,11270,11768,12042,67780,12263226
2018/11/09,11650,11900,11550,11700,▼50,－0.43%,11620,11223,11765,12062,134841,12241978
2018/11/08,11750,11850,11600,11750,▲250,＋2.17%,11600,11185,11764,12081,205325,12208600
2018/11/07,11700,12000,11400,11500,▼150,－1.29%,11470,11140,11764,12099,402080,12134690
2018/11/06,11500,11650,11400,11650,▲150,＋1.30%,11380,11140,11768,12117,126391,12086584
2018/11/05,11500,11500,11300,11500,▼100,－0.86%,11230,11145,11772,12133,121313,12031406
2018/11/02,11150,11600,11150,11600,▲500,＋4.50%,11080,11170,11778,12152,256975,12038589
2018/11/01,11150,11300,10950,11100,▲50,＋0.45%,11000,11193,11779,12170,174060,11936810
2018/10/31,10950,11100,10800,11050,▲150,＋1.38%,11030,11255,11794,12192,100685,11942581
2018/10/30,10550,10950,10500,10900,▲150,＋1.40%,11050,11330,11805,12214,210411,11893003
2018/10/29,11200,11200,10750,10750,▼450,－4.02%,11090,11410,11816,12238,264297,11848202
2018/10/26,11250,11400,10850,11200,▼50,－0.44%,11210,11498,11830,12262,218990,11822351
2018/10/25,10800,11250,10750,11250,▲100,＋0.90%,11190,11560,11838,12282,233255,11737697
2018/10/24,11250,11350,11000,11150,▲50,＋0.45%,11150,11608,11841,12300,208681,11703226
2018/10/23,11350,11400,11000,11100,▼250,－2.20%,11140,11655,11846,12320,127222,11664494
2018/10/22,11100,11350,11000,11350,▲250,＋2.25%,11100,11708,11852,12340,95623,11679774
2018/10/19,10950,11100,10800,11100,▲50,＋0.45%,10980,11755,11858,12357,156954,11658945
2018/10/18,11000,11100,10950,11050,▼50,－0.45%,10950,11820,11866,12377,110643,11660829
2018/10/17,11100,11200,11000,11100,▲200,＋1.83%,10910,11883,11880,12398,143675,11690700
2018/10/16,10750,11000,10750,10900,▲150,＋1.40%,10990,11933,11893,12416,109654,11689025
2018/10/15,10950,11000,10700,10750,▼200,－1.83%,11160,12000,11908,12435,348026,11674741
2018/10/12,10800,11100,10700,10950,▲100,＋0.92%,11410,12075,11923,12455,327066,11771135
2018/10/11,11100,11350,10850,10850,▼650,－5.65%,11630,12138,11933,12474,623356,11766146
2018/10/10,11750,11800,11350,11500,▼250,－2.13%,11930,12195,11944,12495,231403,11895785
2018/10/08,11900,11950,11700,11750,▼250,－2.08%,12140,12230,11945,12509,161694,11954274
2018/10/05,11950,12050,11850,12000,▼50,－0.41%,12290,12265,11943,12517,118618,12008694
2018/10/04,12350,12350,11900,12050,▼300,－2.43%,12390,12278,11933,12523,405198,12025929
2018/10/02,12550,12550,12300,12350,▼200,－1.59%,12470,12285,11921,12531,139283,12176496
2018/10/01,12500,12650,12400,12550,▲50,＋0.40%,12440,12275,11903,12535,167264,12237367
2018/09/28,12550,12550,12300,12500,0.0,0.00%,12350,12260,11884,12538,154112,12264563
2018/09/27,12400,12550,12300,12500,▲50,＋0.40%,12280,12248,11864,12544,213212,12321766
2018/09/21,12300,12450,12200,12450,▲250,＋2.05%,12240,12238,11851,12553,140131,12370064
2018/09/20,12150,12350,12100,12200,▲100,＋0.83%,12230,12228,11838,12561,133162,12389344
2018/09/19,12200,12200,12050,12100,▼50,－0.41%,12250,12223,11833,12570,117762,12392895
2018/09/18,12200,12300,12050,12150,▼150,－1.22%,12250,12230,11829,12582,105160,12403368
2018/09/17,12400,12400,12200,12300,▼100,－0.81%,12270,12238,11830,12593,65194,12415282
2018/09/14,12250,12500,12250,12400,▲100,＋0.81%,12260,12208,11825,12602,200952,12434941
2018/09/13,12150,12300,12100,12300,▲200,＋1.65%,12220,12170,11819,12618,80224,12523608
2018/09/12,12200,12300,12050,12100,▼150,－1.22%,12160,12125,11820,12630,74730,12525469
2018/09/11,12250,12350,12150,12250,0.0,0.00%,12180,12085,11820,12645,93044,12562295
2018/09/10,12150,12300,12050,12250,▲50,＋0.41%,12220,12035,11821,12658,49635,12584176
2018/09/07,12050,12200,11900,12200,▲200,＋1.67%,12220,11998,11826,12674,54546,12608097
2018/09/06,12150,12200,12000,12000,▼200,－1.64%,12220,11970,11838,12690,101049,12603119
2018/09/05,12500,12500,12150,12200,▼250,－2.01%,12250,11958,11862,12710,133821,12631639
2018/09/04,12300,12500,12200,12450,▲200,＋1.63%,12260,11935,11883,12730,134727,12662306
2018/09/03,12200,12350,12150,12250,▲50,＋0.41%,12220,11905,11897,12751,116751,12640808
2018/08/31,12100,12300,12050,12200,▲50,＋0.41%,12230,11885,11914,12772,129673,12636189
2018/08/30,12250,12300,12150,12150,▼100,－0.82%,12240,11860,11931,12790,88441,12579606
2018/08/29,12300,12300,12150,12250,0.0,0.00%,12230,11853,11950,12810,156129,12567884
2018/08/28,12400,12500,12150,12250,▼50,－0.41%,12230,11825,11964,12831,255561,12564130
2018/08/27,12250,12400,12100,12300,▲50,＋0.41%,12240,11790,11987,12848,283725,12610373
2018/08/24,12150,12300,12100,12250,▲150,＋1.24%,12120,11755,12006,12867,75991,12677018
2018/08/23,12250,12350,12050,12100,▼150,－1.22%,12000,11728,12033,12887,135018,12693483
2018/08/22,12400,12700,12200,12250,▼50,－0.41%,11860,11693,12063,12910,274690,12698143
2018/08/21,11700,12450,11650,12300,▲600,＋5.13%,11670,11653,12088,12932,319751,12696923
2018/08/20,11700,11800,11550,11700,▲50,＋0.43%,11460,11610,12115,12955,134153,12643400
2018/08/17,11550,11800,11500,11650,▲250,＋2.19%,11420,11610,12150,12980,153324,12605883
2018/08/16,11400,11550,11250,11400,▲100,＋0.88%,11420,11608,12187,13008,289910,12575282
2018/08/14,11250,11400,11250,11300,▲50,＋0.44%,11490,11633,12228,13038,125280,12606127
2018/08/13,11500,11500,11250,11250,▼250,－2.17%,11580,11663,12268,13074,181571,12583428
2018/08/10,11650,11650,11500,11500,▼150,－1.29%,11700,11688,12316,13108,121880,12608140
2018/08/09,11750,11800,11600,11650,▼100,－0.85%,11770,11698,12358,13139,107356,12639183
2018/08/08,11800,11850,11650,11750,0.0,0.00%,11780,11690,12398,13170,108844,12669243
2018/08/07,11900,11950,11700,11750,▼100,－0.84%,11830,11680,12434,13201,99825,12658274
2018/08/06,11900,11950,11800,11850,0.0,0.00%,11820,11670,12465,13236,64573,12676941
2018/08/03,11800,11850,11700,11850,▲150,＋1.28%,11760,11658,12494,13269,93664,12692089
2018/08/02,12000,12050,11700,11700,▼300,－2.50%,11710,11638,12526,13302,127030,12689620
2018/08/01,11700,12050,11700,12000,▲300,＋2.56%,11710,11618,12562,13335,209379,12720636
2018/07/31,11550,11700,11500,11700,▲150,＋1.30%,11590,11583,12590,13370,157096,12637478
2018/07/30,11500,11600,11450,11550,▼50,－0.43%,11540,11568,12623,13410,140575,12595350
2018/07/27,11700,11750,11550,11600,▼100,－0.85%,11520,11555,12659,13450,105906,12610121
2018/07/26,11500,11750,11450,11700,▲300,＋2.63%,11540,11560,12694,13496,140295,12641088
2018/07/25,11500,11600,11300,11400,▼50,－0.44%,11520,11558,12726,13541,186076,12592633
2018/07/24,11450,11600,11400,11450,0.0,0.00%,11620,11583,12759,13588,85513,12616519
2018/07/23,11650,11700,11400,11450,▼250,－2.14%,11710,11605,12795,13638,184839,12643966
2018/07/20,11600,11800,11550,11700,▲100,＋0.86%,11770,11643,12828,13688,116442,12699827
2018/07/19,11900,12000,11550,11600,▼300,－2.52%,11770,11658,12856,13735,173480,12684521
2018/07/18,11950,12100,11850,11900,0.0,0.00%,11750,11680,12888,13778,104483,12716823
2018/07/17,11750,12050,11700,11900,▲150,＋1.28%,11680,11703,12915,13816,110348,12759107
2018/07/16,11750,11950,11650,11750,▲50,＋0.43%,11610,11713,12938,13862,209348,12767009
2018/07/13,11500,11800,11500,11700,▲200,＋1.74%,11580,11740,12963,13898,116986,12833014
2018/07/12,11550,11600,11400,11500,▼50,－0.43%,11530,11783,12986,13935,79606,12841620
2018/07/11,11450,11550,11300,11550,0.0,0.00%,11490,11853,13016,13972,123020,12853300
2018/07/10,11650,11750,11550,11550,▼50,－0.43%,11440,11948,13046,14003,172864,12850457
2018/07/09,11450,11600,11250,11600,▲150,＋1.31%,11410,12043,13073,14030,151410,12902001
2018/07/06,11350,11600,11300,11450,▲150,＋1.33%,11350,12128,13092,14055,146219,12911026
2018/07/05,11350,11450,11150,11300,0.0,0.00%,11400,12220,13113,14083,146780,12908138
2018/07/04,11300,11450,11200,11300,▼100,－0.88%,11470,12315,13141,14115,96064,12925752
2018/07/03,11350,11650,11150,11400,▲100,＋0.88%,11590,12415,13166,14143,331517,12918110
2018/07/02,11650,11750,11150,11300,▼400,－3.42%,11690,12500,13191,14167,268530,12885844
2018/06/29,11650,11850,11550,11700,▲50,＋0.43%,11870,12615,13224,14191,252895,12870872
2018/06/28,11800,11950,11650,11650,▼250,－2.10%,11930,12703,13254,14212,155152,12865575
2018/06/27,11900,12100,11850,11900,0.0,0.00%,12010,12813,13284,14235,161385,12924256
2018/06/26,11950,12100,11800,11900,▼300,－2.46%,12100,12913,13307,14255,224268,12863782
2018/06/25,12000,12200,11850,12200,▲200,＋1.67%,12140,13008,13335,14280,175486,12904836
2018/06/22,11950,12050,11800,12000,▼50,－0.41%,12160,13093,13355,14301,143071,12937102
2018/06/21,12400,12400,11950,12050,▼300,－2.43%,12270,13183,13379,14325,157938,12938303
2018/06/20,12000,12400,11950,12350,▲250,＋2.07%,12440,13273,13416,14348,153765,12970414
2018/06/19,12300,12400,11950,12100,▼200,－1.63%,12660,13348,13441,14367,176087,12982738
2018/06/18,12550,12900,12100,12300,▼250,－1.99%,12930,13430,13471,14393,357606,12980209
2018/06/15,12950,13000,12550,12550,▼350,－2.71%,13130,13520,13496,14419,280741,12974556
2018/06/14,13400,13400,12850,12900,▼550,－4.09%,13280,13595,13522,14440,339557,13012322
2018/06/12,13450,13550,13300,13450,0.0,0.00%,13340,13650,13543,14461,75794,13124547
2018/06/11,13350,13600,13300,13450,▲150,＋1.13%,13310,13675,13558,14473,177089,13155342
2018/06/08,13300,13350,13150,13300,0.0,0.00%,13240,13683,13578,14486,164701,13098739
2018/06/07,13250,13500,13200,13300,▲100,＋0.76%,13300,13698,13606,14499,316065,13064038
2018/06/05,13350,13400,13100,13200,▼100,－0.75%,13330,13720,13630,14514,136010,13094118
2018/06/04,13250,13350,13050,13300,▲200,＋1.53%,13460,13753,13649,14529,115685,13134152
2018/06/01,13500,13500,12900,13100,▼500,－3.68%,13580,13773,13670,14548,350771,13120688
2018/05/31,13550,13600,13400,13600,▲150,＋1.12%,13720,13800,13698,14565,131204,13179838
2018/05/30,13700,13750,13150,13450,▼400,－2.89%,13780,13808,13708,14573,304349,13140206
2018/05/29,13900,13950,13750,13850,▼50,－0.36%,13850,13820,13728,14583,131238,13194633
2018/05/28,13850,13950,13650,13900,▲100,＋0.72%,13850,13808,13742,14592,212356,13204125
2018/05/25,13750,13900,13600,13800,▼100,－0.72%,13840,13783,13758,14602,168746,13198460
2018/05/24,13750,14150,13650,13900,▲100,＋0.72%,13830,13773,13776,14613,294207,13179932
2018/05/23,13850,13950,13700,13800,▼50,－0.36%,13870,13748,13794,14626,101896,13204646
2018/05/21,13900,13950,13700,13850,0.0,0.00%,13920,13728,13809,14641,136295,13179751
2018/05/18,13850,13950,13600,13850,▲100,＋0.73%,13950,13710,13828,14653,120462,13165869
2018/05/17,14150,14200,13700,13750,▼350,－2.48%,13970,13695,13849,14658,198171,13159143
2018/05/16,14000,14150,13900,14100,▲50,＋0.36%,13940,13673,13880,14665,142644,13217123
2018/05/15,14000,14300,13700,14050,▲50,＋0.36%,13840,13628,13899,14670,344994,13216474
2018/05/14,14100,14150,13900,14000,▲50,＋0.36%,13780,13580,13920,14676,119867,13300525
2018/05/11,13700,14250,13650,13950,▲350,＋2.57%,13750,13545,13942,14679,348083,13318208
2018/05/10,13650,13750,13450,13600,0.0,0.00%,13700,13515,13968,14678,99211,13218351
2018/05/09,13700,13750,13450,13600,▼150,－1.09%,13710,13493,14008,14680,188404,13225879
2018/05/08,13900,13950,13700,13750,▼100,－0.72%,13740,13450,14044,14680,248715,13273715
2018/05/04,13650,13950,13650,13850,▲150,＋1.09%,13730,13400,14078,14679,217339,13353094
2018/05/03,13700,13700,13500,13700,▲50,＋0.37%,13680,13355,14108,14677,81815,13318576
2018/05/02,13750,13850,13450,13650,▼100,－0.73%,13620,13310,14151,14676,173578,13323477
2018/04/30,13800,13850,13650,13750,▲50,＋0.36%,13610,13273,14197,14675,204062,13357004
2018/04/27,13800,13900,13700,13700,▲100,＋0.74%,13540,13250,14240,14675,155836,13414841
2018/04/26,13400,13800,13400,13600,▲200,＋1.49%,13480,13240,14298,14674,178632,13430150
2018/04/25,13450,13550,13300,13400,▼200,－1.47%,13460,13233,14356,14675,120350,13479126
2018/04/24,13350,13600,13350,13600,▲200,＋1.49%,13490,13225,14418,14676,179891,13509323
2018/04/23,13350,13500,13350,13400,0.0,0.00%,13430,13225,14482,14675,114736,13524791
2018/04/20,13450,13450,13300,13400,▼100,－0.74%,13390,13225,14548,14677,130485,13567973
2018/04/19,13650,13650,13300,13500,▼50,－0.37%,13330,13228,14614,14677,269540,13601641
2018/04/18,13400,13700,13350,13550,▲250,＋1.88%,13290,13265,14668,14678,369385,13662271
2018/04/17,13200,13300,13150,13300,▲100,＋0.76%,13250,13280,14718,14679,90900,13610024
2018/04/16,13050,13200,12900,13200,▲100,＋0.76%,13220,13310,14785,14683,156805,13605150
2018/04/13,13350,13450,13050,13100,▼200,－1.50%,13130,13340,14833,14685,354974,13576381
2018/04/12,13300,13300,13100,13300,▼50,－0.37%,13060,13390,14885,14689,158448,13629541
2018/04/11,13200,13350,13150,13350,▲200,＋1.52%,12990,13433,14928,14691,242542,13596972
2018/04/10,12750,13200,12750,13150,▲400,＋3.14%,12880,13485,14959,14697,387567,13512118
2018/04/09,12550,12850,12550,12750,0.0,0.00%,12830,13558,14987,14705,321729,13348338
2018/04/06,12900,12900,12550,12750,▼200,－1.54%,12940,13670,15018,14717,419808,13169364
2018/04/05,12950,13000,12700,12950,▲150,＋1.17%,13090,13770,15053,14730,278053,13082447
2018/04/04,13050,13050,12700,12800,▼100,－0.78%,13190,13840,15089,14737,270963,13033152
2018/04/03,13100,13200,12800,12900,▼400,－3.01%,13280,13928,15120,14744,394593,12972222
2018/04/02,13500,13750,13200,13300,▼200,－1.48%,13420,14020,15143,14746,196797,12936524
2018/03/30,13550,13600,13400,13500,▲50,＋0.37%,13440,14068,15158,14743,110081,12950628
2018/03/29,13350,13500,13100,13450,▲200,＋1.51%,13430,14123,15169,14738,214293,12927595
2018/03/28,13450,13550,13150,13250,▼350,－2.57%,13590,14185,15185,14735,243064,12870762
2018/03/27,13650,13800,13450,13600,▲200,＋1.49%,13710,14268,15203,14734,158515,12837683
2018/03/26,13250,13550,13250,13400,▼50,－0.37%,13770,14330,15225,14735,254739,12860854
2018/03/23,13750,13850,13350,13450,▼800,－5.61%,13850,14410,15248,14740,362630,12823524
2018/03/22,13900,14450,13850,14250,▲400,＋2.89%,13980,14473,15272,14745,339333,12835871
2018/03/21,13900,14100,13750,13850,▼50,－0.36%,13960,14510,15279,14745,192168,12786216
2018/03/20,13650,13900,13600,13900,▲100,＋0.72%,14070,14573,15293,14751,352632,12774636
2018/03/19,14150,14200,13700,13800,▼300,－2.13%,14210,14658,15314,14754,411002,12725252
2018/03/16,14200,14250,14000,14100,▼50,－0.35%,14450,14730,15343,14755,448667,12637710
2018/03/15,14250,14350,13950,14150,▼250,－1.74%,14580,14790,15358,14755,599849,12489127
2018/03/14,14500,14650,14350,14400,▼200,－1.37%,14620,14848,15379,14755,133471,12427201
2018/03/13,15000,15000,14450,14600,▼400,－2.67%,14650,14905,15388,14751,179671,12420817
2018/03/12,15000,15000,14700,15000,▲250,＋1.69%,14680,14973,15395,14747,200311,12419592
2018/03/09,14500,14950,14400,14750,▲400,＋2.79%,14530,15013,15393,14736,260340,12438204
2018/03/08,14500,14800,14200,14350,▼200,－1.37%,14500,15065,15398,14726,139724,12426965
2018/03/07,14800,14950,14500,14550,▼200,－1.36%,14570,15130,15409,14720,132899,12435102
2018/03/06,14400,15100,14300,14750,▲500,＋3.51%,14640,15215,15425,14715,362837,12438163
2018/03/05,14600,14650,14000,14250,▼350,－2.40%,14660,15298,15432,14712,230943,12506051
2018/03/02,14550,14800,14350,14600,▼100,－0.68%,14810,15403,15438,14710,175849,12530809
2018/02/28,14850,14900,14600,14700,▼200,－1.34%,14830,15530,15438,14706,124649,12486286
2018/02/27,15000,15050,14750,14900,▲50,＋0.34%,14890,15650,15442,14700,154002,12486206
2018/02/26,15250,15250,14750,14850,▼150,－1.00%,14930,15760,15446,14695,146440,12420338
2018/02/23,14800,15050,14650,15000,▲300,＋2.04%,15080,15890,15451,14690,124046,12383118
2018/02/22,14950,14950,14650,14700,▼300,－2.00%,15130,16008,15458,14685,205077,12344630
2018/02/21,15100,15300,14950,15000,▼100,－0.66%,15250,16143,15473,14683,173831,12275582
2018/02/20,15500,15500,14950,15100,▼500,－3.21%,15310,16228,15477,14679,178511,12251473
2018/02/19,15450,15650,15300,15600,▲350,＋2.30%,15400,16300,15466,14670,177733,12261769
2018/02/14,15300,15400,15000,15250,▼50,－0.33%,15470,16388,15449,14660,215669,12299253
2018/02/13,15400,15500,15150,15300,0.0,0.00%,15580,16430,15442,14655,225982,12225704
2018/02/12,15700,15750,15100,15300,▼250,－1.61%,15680,16475,15432,14648,380195,12156488
2018/02/09,15400,15750,15300,15550,▼400,－2.51%,15750,16505,15416,14639,206920,12112363
2018/02/08,16150,16150,15500,15950,▲150,＋0.95%,15890,16488,15388,14628,175155,12100091
2018/02/07,16000,16250,15500,15800,0.0,0.00%,15980,16430,15353,14614,344624,12108788
2018/02/06,15200,16000,15000,15800,▲150,＋0.96%,16090,16373,15315,14603,439474,12059505
2018/02/05,15850,15950,15450,15650,▼600,－3.69%,16360,16325,15279,14597,240246,11997043
2018/02/02,16350,16500,16050,16250,▼150,－0.91%,16650,16298,15245,14589,195066,11927111
2018/02/01,16550,16550,16100,16400,▲50,＋0.31%,16820,16218,15201,14578,348799,11868775
2018/01/31,16650,16750,16000,16350,▼800,－4.66%,17030,16110,15153,14565,893464,11752614
2018/01/30,17050,17400,16950,17150,▲50,＋0.29%,17230,16005,15109,14558,220819,11654893
2018/01/29,17250,17750,17000,17100,0.0,0.00%,17280,15855,15051,14543,413054,11600451
2018/01/26,17450,17450,16950,17100,▼350,－2.01%,17200,15720,14995,14528,230614,11575557
2018/01/25,17200,17600,17150,17450,▲100,＋0.58%,17090,15583,14935,14512,223295,11569859
2018/01/24,17300,17750,17050,17350,▼50,－0.29%,17070,15455,14869,14498,403003,11567715
2018/01/23,16800,17900,16700,17400,▲700,＋4.19%,16820,15325,14806,14486,883262,11579805
2018/01/22,16550,16850,16300,16700,▲150,＋0.91%,16580,15200,14740,14473,227685,11668401
2018/01/19,17150,17300,16550,16550,▼800,－4.61%,16420,15100,14689,14473,421536,11648491
2018/01/18,16300,17700,16300,17350,▲1250,＋7.76%,16150,15008,14640,14471,1149067,11588365
2018/01/17,16200,16250,15900,16100,▼100,－0.62%,15640,14898,14580,14455,165371,11431398
2018/01/16,15950,16250,15750,16200,▲300,＋1.89%,15350,14868,14536,14448,421071,11405932
2018/01/15,15350,16000,15200,15900,▲700,＋4.61%,15080,14810,14493,14438,972739,11348627
2018/01/12,14750,15300,14750,15200,▲400,＋2.70%,14920,14785,14454,14433,385103,11166714
2018/01/11,14650,14800,14500,14800,▲150,＋1.02%,14810,14773,14434,14430,117624,11129086
2018/01/10,14900,15050,14550,14650,▼200,－1.35%,14700,14783,14423,14432,245538,11123949
2018/01/09,15100,15100,14800,14850,▼250,－1.66%,14620,14793,14415,14434,236955,11089530
2018/01/08,14650,15150,14450,15100,▲450,＋3.07%,14480,14803,14407,14437,272146,11077550
2018/01/05,14200,14650,14100,14650,▲400,＋2.81%,14340,14800,14384,14434,154611,11018154
2018/01/04,14250,14450,14200,14250,0.0,0.00%,14280,14843,14368,14438,94055,11018844
2018/01/03,14200,14300,14050,14250,▲100,＋0.71%,14410,14888,14350,14444,98310,11019920
2018/01/02,14250,14400,14050,14150,▼250,－1.74%,14510,14905,14328,14451,121859,11011464
2017/12/28,14400,14550,14250,14400,▲50,＋0.35%,14660,14928,14308,14458,100940,11008550
2017/12/27,14450,14500,14250,14350,▼550,－3.69%,14720,14955,14286,14467,132335,10987674
2017/12/26,14800,15000,14800,14900,▲150,＋1.02%,14790,14995,14264,14476,183233,10980618
2017/12/22,14800,15050,14550,14750,▼150,－1.01%,14840,15008,14244,14481,136045,10976583
2017/12/21,14650,15000,14650,14900,▲200,＋1.36%,14990,15040,14232,14482,135233,10986745
2017/12/20,14700,14900,14600,14700,0.0,0.00%,15020,15078,14219,14477,102500,11031677
2017/12/19,15050,15300,14700,14700,▼450,－2.97%,15160,15103,14211,14473,217122,11054228
2017/12/18,15450,15450,15050,15150,▼350,－2.26%,15210,15090,14208,14463,131056,11108391
2017/12/15,15050,15500,14800,15500,▲450,＋2.99%,15180,15063,14193,14445,258216,11145536
2017/12/14,15400,15450,14950,15050,▼350,－2.27%,15050,15028,14168,14424,265579,11174629
2017/12/13,15050,15450,14900,15400,▲450,＋3.01%,15050,15010,14152,14408,159378,11295030
2017/12/12,15000,15050,14700,14950,▼50,－0.33%,14980,14958,14131,14390,92259,11330045
2017/12/11,14950,15050,14850,15000,▲150,＋1.01%,15090,14905,14114,14375,55046,11342262
2017/12/08,15050,15150,14750,14850,▼200,－1.33%,15120,14845,14098,14360,114320,11351462
2017/12/07,15250,15300,15000,15050,0.0,0.00%,15070,14780,14080,14349,103394,11386702
2017/12/06,15350,15500,15000,15050,▼450,－2.90%,14980,14710,14054,14336,134124,11404713
2017/12/05,15300,15550,15000,15500,▲350,＋2.31%,14960,14638,14032,14322,197298,11456123
2017/12/04,14600,15200,14450,15150,▲550,＋3.77%,14890,14543,14006,14307,193953,11491156
2017/12/01,14700,14850,14450,14600,0.0,0.00%,14890,14463,13992,14291,105212,11546630
2017/11/30,15000,15050,14600,14600,▼350,－2.34%,15050,14418,13983,14279,180555,11539761
2017/11/29,15150,15200,14900,14950,▼200,－1.32%,15260,14370,13975,14265,138629,11571213
2017/11/28,15100,15350,14900,15150,0.0,0.00%,15310,14310,13959,14248,130158,11621846
2017/11/27,15500,15800,15100,15150,▼250,－1.62%,15170,14228,13943,14229,184293,11628933
